Index,Name,Overall_Rating,Cuisine,Rate for two,City,Review,sentiment
0,Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,place times prakash always sweet accommodating plus always ask vaibhav make shakes perfect,neutral
1,Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,recently visited oliver brown weekend cup iced coffee thoroughly impressed ambience inviting seating comfortable service pleasure trying iced coffee dark hot chocolate absolutely delicious excellent place overall already looking forward next visit,neutral
2,Crush Coffee,3.0,"Cafe, Shake, Beverages, Desserts",600,ahmedabad,watery ans thin shake,neutral
3,The Mohalla,3.8,Cafe,550,ahmedabad,cheese burst pizza cheeze top happy pizza sent made today,neutral
4,The Mohalla,3.8,Cafe,550,ahmedabad,test burger best love bergerand fry also missing,neutral
5,The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,food spicy told restorant call instructions,positive
6,The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,punjabi thali great taste good paratha star reason simple provided instead maida made naan overall mindful serving customer liked,positive
7,Hobnob Bistro,3.7,"North Indian, Cafe, Italian, Chinese, Desserts, Shake, Beverages","1,000",ahmedabad,owner let us sit ac though reserved already booked table priorly also give us ac table sit said call us book ac table one ever picks call,neutral
8,Mleko,4.8,"Cafe, Coffee, Bakery, Fast Food, Continental, Desserts, Beverages",800,ahmedabad,coffees spilled box pasta opened coffee pastawe need money back since items completely wish negative stars,positive
9,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,washroom available use mall security guard washroom,positive
10,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,waiters denied serve food,positive
11,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,tasty today food,positive
12,Unlocked,4.0,"Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian","1,200",ahmedabad,potion size reduced quality food nice,positive
13,Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,zomato shows dining bill owner says offer discount bill minimum rs zomato mention thing guys joke customer banne se pehle hi customer tut gaya,neutral
14,Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,received delivery minutes late,neutral
15,Novelchef Cafe & Lounge,4.2,"Cafe, Continental, Italian, Fast Food, Desserts, Beverages",950,ahmedabad,tried new quiet amazing place quite time say loved food ambience anurag pandey ji ki service aaayyhayyyhayyhayyy maza aa gaya,positive
16,Gamysticafe,4.2,"Cafe, Beverages, Sandwich, Fast Food, Mexican, Chinese, Desserts, Shake",950,ahmedabad,new concept cafe quiet appealing food visited cafe several times previously used b much chaotic minus point think managed every item v ordered far yummy far complaints recently made changes menu think trouble becoz short menu far would appreciate manage make whole wheat paratha place purpose flour combos secondly mexican buddha bowl yum,positive
17,Gamysticafe,4.2,"Cafe, Beverages, Sandwich, Fast Food, Mexican, Chinese, Desserts, Shake",950,ahmedabad,cafe go interest video games large friend group kitkat shake turned okay,positive
18,Xero Degrees,4.0,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,drooling food instagrammable cafe ahmedabad tried margarita pizzamango mint coolercheese balls sliders nutella oreo shakedo visit place friends family,positive
19,Xero Degrees,4.0,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,favourite place hangout friends nearby sbrlove fries mocktail shakes best items try peri peri cheesy fries makhni paneer heart shape pizza american cheese burger friends sliders kwi coolers choco brownie freak shake degrees casual fast food cafe serving american cuisine destination food,positive
20,Xero Degrees,4.0,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,bakwas,positive
21,Xero Degrees,4.0,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,staff rude behave obliging us providing service food free ordered alfredo pasta jain margarita pizza fried wonton pasta wonton good pizza way sweet upon confronting staff response slow made faces responded use sauces would taste sweet rude way mention time placing order understand servers responsible taste food respond properly,positive
22,Cuppuccino,3.6,"Cafe, North Indian, Chinese, Mexican, Pizza, Pasta, Fast Food, Beverages",850,ahmedabad,bad taste hate baked properly,neutral
23,Core The Coffee Shop @ Lithosphere,3.8,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","2,000",ahmedabad,two thick strands hair sandwich,neutral
24,Core The Coffee Shop @ Lithosphere,3.8,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","2,000",ahmedabad,late,neutral
25,Fyro,3.0,"Cafe, Coffee, Shake, Beverages",600,ahmedabad,worst service staff hear order well even courtesy talk customer well get order,neutral
26,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,bad salad stale refried chicken expected bad quality food place tasted ordered something else upper crust,neutral
27,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,rosti undercooked spoon fork eat office,neutral
28,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,pieces avocado placement pieces would yumm,neutral
29,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,bad taste,neutral
30,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,great delivery quality,positive
31,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,little overpriced may due zomato good,positive
32,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,really poor food quality totally waste money never suggest anyone,positive
33,Big Blue Bistro,,"Cafe, Coffee, Shake, Beverages, Pizza, Fast Food, Chinese, North Indian","1,000",ahmedabad,kathi roll frankie,neutral
34,Silver Fork Cafe & Restaurant,,"North Indian, Chinese, Continental, Italian, Mexican, Cafe, Beverages",900,ahmedabad,amazing experience silver fork hotel service truly exceeded expectations dinner outstanding food delicious every dish culinary delight recommend silver fork anyone looking food good food,neutral
35,Silver Fork Cafe & Restaurant,,"North Indian, Chinese, Continental, Italian, Mexican, Cafe, Beverages",900,ahmedabad,food good ambience good waiting periode enough space enjoy specially suitable birthday party marriage anniversary party angagement party etc,neutral
36,Lil' Heaven Cafe,3.5,"Cafe, North Indian, Italian, Sandwich, Beverages, Shake",950,ahmedabad,pasta little spicy please make less spicy food next time,neutral
37,Lil' Heaven Cafe,3.5,"Cafe, North Indian, Italian, Sandwich, Beverages, Shake",950,ahmedabad,poori ordered jain delivered onionsi used try new things ordered disappointed,neutral
